start,end,tID,notes,TAG,TIME,X,Y,NBS,VARX,VARY,COVXY,SD,Timestamp,bird_id,date,long,lat,ID,gps_mean_x,gps_mean_y,n,error_dist
2020/08/21 17:05:26.751+00,2020/08/21 17:05:26.751+00,WP072,,31001001060,1598029526751,650525.209163649,5901743.55167627,"4",40.1119,114.882,65.2076,16.894055167425,2020/08/21 17:05:26.751+00,"1060",2020/08/21,5.25598759085412,53.2437259703255,14,650528.175175278,5901748.08845346,"14",5.42029264315383
2020/08/21 17:05:27.751+00,2020/08/21 17:05:27.751+00,WP072,,31001001060,1598029527751,650522.259472009,5901739.06295764,"5",18.6025,30.1027,20.9513,9.51881295120353,2020/08/21 17:05:27.751+00,"1060",2020/08/21,5.25578471146354,53.2435547385194,14,650528.175175278,5901748.08845346,"14",10.7914373511137
2020/08/21 17:05:28.750+00,2020/08/21 17:05:28.750+00,WP072,,31001001060,1598029528750,650522.259472009,5901739.06295764,"5",20.6506,29.4632,21.6889,9.66910543949129,2020/08/21 17:05:28.750+00,"1060",2020/08/21,5.25574603446812,53.2435550663259,14,650528.175175278,5901748.08845346,"14",10.7914373511137
2020/08/21 17:05:29.750+00,2020/08/21 17:05:29.750+00,WP072,,31001001060,1598029529750,650524.446310463,5901743.18126275,"5",14.6154,28.0785,18.1179,8.88423885316013,2020/08/21 17:05:29.750+00,"1060",2020/08/21,5.2558509275351,53.2435905127622,14,650528.175175278,5901748.08845346,"14",6.16319344728759
2020/08/21 17:05:30.750+00,2020/08/21 17:05:30.750+00,WP072,,31001001060,1598029530750,650526.109473272,5901743.18126275,"5",15.7541,28.3633,18.8059,9.04042034420966,2020/08/21 17:05:30.750+00,"1060",2020/08/21,5.2558208280189,53.24361820116,14,650528.175175278,5901748.08845346,"14",5.32425069305092
2020/08/21 17:05:31.750+00,2020/08/21 17:05:31.750+00,WP072,,31001001060,1598029531750,650526.109473272,5901742.06969511,"5",16.6801,30.0729,20.0745,9.32212422144224,2020/08/21 17:05:31.750+00,"1060",2020/08/21,5.25584378101668,53.2435806539163,14,650528.175175278,5901748.08845346,"14",6.36337778984567
2020/08/21 17:05:32.750+00,2020/08/21 17:05:32.750+00,WP072,,31001001060,1598029532750,650526.109473272,5901742.06969511,"5",16.9518,31.5155,20.6793,9.47765266297515,2020/08/21 17:05:32.750+00,"1060",2020/08/21,5.25584378101668,53.2435806539163,14,650528.175175278,5901748.08845346,"14",6.36337778984567
2020/08/21 17:05:33.750+00,2020/08/21 17:05:33.750+00,WP072,,31001001060,1598029533750,650526.432260373,5901744.84588561,"5",16.5521,30.8947,20.3577,9.38947282865231,2020/08/21 17:05:33.750+00,"1060",2020/08/21,5.25584992629682,53.2436054983996,14,650528.175175278,5901748.08845346,"14",3.68130392957525
2020/08/21 17:05:34.750+00,2020/08/21 17:05:34.750+00,WP072,,31001001060,1598029534750,650526.432260373,5901745.12275914,"5",13.2253,26.3725,16.6793,8.54145186721789,2020/08/21 17:05:34.750+00,"1060",2020/08/21,5.25591545086145,53.243634561709,14,650528.175175278,5901748.08845346,"14",3.43992662222314
2020/08/21 17:05:35.750+00,2020/08/21 17:05:35.750+00,WP072,,31001001060,1598029535750,650525.156703071,5901745.12275914,"5",14.3937,28.5537,18.2292,8.91099321063595,2020/08/21 17:05:35.750+00,"1060",2020/08/21,5.25583095734807,53.2436083468966,14,650528.175175278,5901748.08845346,"14",4.23160929967296
2020/08/21 17:05:36.750+00,2020/08/21 17:05:36.750+00,WP072,,31001001060,1598029536750,650525.156703071,5901745.12275914,"5",13.0379,25.1212,16.085,8.38624468996702,2020/08/21 17:05:36.750+00,"1060",2020/08/21,5.25583095734807,53.2436083468966,14,650528.175175278,5901748.08845346,"14",4.23160929967296
2020/08/21 17:05:37.750+00,2020/08/21 17:05:37.750+00,WP072,,31001001060,1598029537750,650527.850917668,5901747.52227366,"5",15.8248,28.5366,18.9514,9.06996141116378,2020/08/21 17:05:37.750+00,"1060",2020/08/21,5.2558724336429,53.2436291357876,14,650528.175175278,5901748.08845346,"14",0.652458864978402
2020/08/21 17:05:38.750+00,2020/08/21 17:05:38.750+00,WP072,,31001001060,1598029538750,650527.850917668,5901747.52227366,"5",13.8992,28.6587,18.013,8.86475605981349,2020/08/21 17:05:38.750+00,"1060",2020/08/21,5.2558724336429,53.2436291357876,14,650528.175175278,5901748.08845346,"14",0.652458864978402
2020/08/21 17:05:39.750+00,2020/08/21 17:05:39.750+00,WP072,,31001001060,1598029539750,650527.850917668,5901747.52227366,"5",21.5662,39.8999,26.4168,10.6911037783757,2020/08/21 17:05:39.750+00,"1060",2020/08/21,5.25590313852147,53.2436439032204,14,650528.175175278,5901748.08845346,"14",0.652458864978402
2020/08/21 17:05:40.750+00,2020/08/21 17:05:40.750+00,WP072,,31001001060,1598029540750,650527.850917668,5901747.52227366,"5",14.6988,25.7471,16.7643,8.60084298194078,2020/08/21 17:05:40.750+00,"1060",2020/08/21,5.25585089417645,53.2436010577564,14,650528.175175278,5901748.08845346,"14",0.652458864978402
2020/08/21 17:05:41.750+00,2020/08/21 17:05:41.750+00,WP072,,31001001060,1598029541750,650526.512422494,5901744.35402684,"5",6.58924,14.4118,7.20939,5.95145528421411,2020/08/21 17:05:41.750+00,"1060",2020/08/21,5.25595613671197,53.2436761641721,14,650528.175175278,5901748.08845346,"14",4.08787096554379
2020/08/21 17:05:42.750+00,2020/08/21 17:05:42.750+00,WP072,,31001001060,1598029542750,650522.316419818,5901740.41220235,"5",14.6996,23.9149,16.2701,8.43532453436144,2020/08/21 17:05:42.750+00,"1060",2020/08/21,5.25578620178785,53.2435668414115,14,650528.175175278,5901748.08845346,"14",9.65659601852858
